순위,티커,종목명,섹터,현재가,PEG,Forward_PE,이익성장률(%),시가총액
149,WTW,Willis Towers Watson Public Lim,Financial Services,297.64,1.27,13.290705,-38.2,28140644352
150,TFC,Truist Financial Corporation,Financial Services,50.57,1.28,9.892643,25.3,64691486720
151,URI,"United Rentals, Inc.",Industrials,796.15,1.28,15.151726,-1.9,50155978752
152,GL,Globe Life Inc.,Financial Services,151.86,1.3,9.187945,9.5,11941834752
153,BLK,"BlackRock, Inc.",Financial Services,1052.14,1.3,17.353039,45.9,163651469312
154,NTRS,Northern Trust Corporation,Financial Services,159.16,1.3,14.147556,7.6,30099922944
155,ABNB,"Airbnb, Inc.",Consumer Cyclical,141.55,1.3,24.486061,-23.7,84861206528
156,LMT,Lockheed Martin Corporation,Industrials,592.19,1.3,18.49973,161.0,136477360128
157,AOS,A.O. Smith Corporation,Industrials,64.82,1.31,14.960303,19.1,8963952640
158,CSCO,"Cisco Systems, Inc.",Technology,86.25,1.31,19.116877,31.2,340781891584
159,HCA,"HCA Healthcare, Inc.",Healthcare,488.0,1.32,14.637371,44.5,109127639040
160,GPC,Genuine Parts Company,Consumer Cyclical,113.79,1.32,13.537243,N/A,15830705152
161,L,Loews Corporation,Financial Services,111.35,1.32,38.39655,126.0,22943987712
162,CDW,CDW Corporation,Technology,133.96,1.33,11.820119,8.799999999999999,17279981568
163,SATS,EchoStar Corporation,Communication Services,133.21,1.33,-90.67087,N/A,38481158144
164,MSFT,Microsoft Corporation,Technology,422.79,1.33,22.363321,59.8,3142335070208
165,PNR,Pentair plc.,Industrials,91.08,1.33,15.639085,1.6,14867509248
166,DXCM,"DexCom, Inc.",Healthcare,63.98,1.34,21.394846,78.0,24688154624
167,OTIS,Otis Worldwide Corporation,Industrials,81.43,1.34,17.084137,13.5,31734560768
168,BALL,Ball Corporation,Consumer Cyclical,64.48,1.35,14.346775,N/A,17161549824
169,INTC,Intel Corporation,Technology,68.5,1.36,64.06959,N/A,343939219456
170,WAB,Westinghouse Air Brake Technolo,Industrials,263.37,1.37,22.096521,-3.8,44909109248
171,HII,"Huntington Ingalls Industries, ",Industrials,394.81,1.37,19.400106,28.1,15546501120
172,TEL,TE Connectivity plc,Technology,246.14,1.37,19.824547,44.4,72250826752
173,BG,Bunge Limited,Consumer Defensive,119.26,1.37,11.62214,-88.8,23113830400
174,CAH,"Cardinal Health, Inc.",Healthcare,213.99,1.37,18.473309,19.400000000000002,50355273728
175,RMD,ResMed Inc.,Healthcare,228.12,1.38,18.727127,14.499999999999998,33297829888
176,ABT,Abbott Laboratories,Healthcare,96.81,1.38,15.971795,-19.7,168225079296
177,WAT,Waters Corporation,Healthcare,327.77,1.39,20.057852,-3.1,32175699968
178,SWK,"Stanley Black & Decker, Inc.",Industrials,71.34,1.39,11.683704,-19.3,11078133760
179,XOM,Exxon Mobil Corporation,Energy,146.44,1.39,14.426235,-11.0,608686571520
180,GS,"Goldman Sachs Group, Inc. (The)",Financial Services,925.95,1.39,14.166763,24.3,274778374144
181,FDX,FedEx Corporation,Industrials,392.38,1.39,17.5427,17.299999999999997,93624516608
182,TDY,Teledyne Technologies Incorpora,Technology,635.83,1.4,24.714148,39.1,29449918464
183,EOG,"EOG Resources, Inc.",Energy,128.43,1.41,9.369377,-41.699999999999996,68901601280
184,NKE,"Nike, Inc.",Consumer Cyclical,46.03,1.41,24.49264,-34.8,68165230592
185,HRL,Hormel Foods Corporation,Consumer Defensive,21.19,1.41,13.486078,-5.1,11660522496
186,PTC,PTC Inc.,Technology,139.74,1.42,16.779076,104.4,16628516864
187,EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,76.2,1.42,25.254114,N/A,27563599872
188,MAS,Masco Corporation,Industrials,66.58,1.42,14.466837,-5.8999999999999995,13556160512
189,VST,Vistra Corp.,Utilities,163.46,1.42,14.549669,-52.300000000000004,55339266048
190,DG,Dollar General Corporation,Consumer Defensive,126.68,1.43,15.885675,121.9,27898269696
191,PPG,"PPG Industries, Inc.",Basic Materials,114.85,1.44,13.402432,N/A,25703274496
192,MKTX,"MarketAxess Holdings, Inc.",Financial Services,169.0,1.45,18.445612,45.300000000000004,6281985024
193,BK,The Bank of New York Mellon Cor,Financial Services,135.1,1.45,14.1244135,41.8,92979470336
194,WFC,Wells Fargo & Company,Financial Services,81.41,1.45,10.32527,15.1,250332069888
195,MOS,Mosaic Company (The),Basic Materials,24.57,1.45,10.1006365,N/A,7809492480
196,CARR,Carrier Global Corporation,Industrials,61.32,1.47,19.326168,-97.8,51253948416
197,CL,Colgate-Palmolive Company,Consumer Defensive,85.81,1.48,20.975414,N/A,68845527040
198,T,AT&T Inc.,Communication Services,26.51,1.49,10.415766,-5.6000000000000005,185585303552
199,KVUE,Kenvue Inc.,Consumer Defensive,17.61,1.49,14.60732,11.200000000000001,33809727488
200,NRG,"NRG Energy, Inc.",Utilities,167.73,1.49,14.838701,-91.3,35621859328
201,MDT,Medtronic plc.,Healthcare,86.19,1.49,14.220707,-11.799999999999999,110658043904
202,ACN,Accenture plc,Technology,197.65,1.5,13.2569685,4.0,121640747008
203,MMM,3M Company,Industrials,154.55,1.5,16.447124,-19.900000000000002,81401487360
204,BRO,"Brown & Brown, Inc.",Financial Services,67.72,1.51,13.604596,-16.2,23053244416
205,LYB,LyondellBasell Industries NV,Basic Materials,66.27,1.53,12.250714,N/A,21389918208
206,DECK,Deckers Outdoor Corporation,Consumer Cyclical,112.5,1.53,15.325828,11.0,16396293120
207,DGX,Quest Diagnostics Incorporated,Healthcare,195.02,1.53,16.998482,11.0,21585707008
208,FE,FirstEnergy Corp.,Utilities,50.1,1.54,17.010902,N/A,28977772544
209,PPL,PPL Corporation,Utilities,39.02,1.54,18.428436,49.9,29349482496
210,SPGI,S&P Global Inc.,Financial Services,442.57,1.54,20.068525,32.0,132239917056
211,FMC,FMC Corporation,Basic Materials,17.17,1.55,7.6400075,N/A,2147023232
212,AMP,"Ameriprise Financial, Inc.",Financial Services,456.2,1.55,9.875773,-1.0999999999999999,42383585280
213,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,341.03,1.56,32.720055,-38.5,78195318784
214,IP,International Paper Company,Consumer Cyclical,37.13,1.58,13.072195,N/A,19659823104
215,KR,Kroger Company (The),Consumer Defensive,68.19,1.59,12.124284,50.9,43153985536
216,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,750.57,1.59,14.323804,-2.6,79350120448
217,POOL,Pool Corporation,Industrials,227.62,1.6,19.134,-12.9,8373643264
218,ROP,"Roper Technologies, Inc.",Technology,362.44,1.6,15.5031805,-7.3,37305049088
219,SYK,Stryker Corporation,Healthcare,343.32,1.61,20.504002,55.900000000000006,131486154752
220,UPS,"United Parcel Service, Inc.",Industrials,106.44,1.61,13.410423,4.6,90439188480
221,AXON,"Axon Enterprise, Inc.",Industrials,402.85,1.64,38.117016,-98.0,32458510336
222,MO,"Altria Group, Inc.",Consumer Defensive,64.17,1.64,11.036241,-62.9,107285700608
223,CFG,"Citizens Financial Group, Inc.",Financial Services,64.45,1.65,10.137536,46.2,27457218560
224,DPZ,Domino's Pizza Inc,Consumer Cyclical,372.06,1.66,17.331846,9.5,12511967232
225,MA,Mastercard Incorporated,Financial Services,521.3,1.66,22.998272,24.2,465227776000
226,APH,Amphenol Corporation,Technology,151.06,1.66,29.081709,57.599999999999994,185717784576
227,PKG,Packaging Corporation of Americ,Consumer Cyclical,213.39,1.67,17.881279,-56.49999999999999,19037245440
228,RL,Ralph Lauren Corporation,Consumer Cyclical,386.88,1.67,21.492306,24.9,23460659200
229,CMI,Cummins Inc.,Industrials,627.18,1.67,19.890894,41.4,86712287232
230,JPM,JP Morgan Chase & Co.,Financial Services,310.29,1.67,13.202728,17.2,836862214144
231,ALB,Albemarle Corporation,Basic Materials,197.75,1.68,22.440277,N/A,23312132096
232,SWKS,"Skyworks Solutions, Inc.",Technology,58.99,1.68,11.797174,-47.0,8872448000
233,RF,Regions Financial Corporation,Financial Services,28.13,1.7,9.859209,21.6,24031916032
234,PEP,"Pepsico, Inc.",Consumer Defensive,157.67,1.7,17.27493,27.800000000000004,215525572608
235,HPQ,HP Inc.,Technology,19.88,1.71,6.684532,-1.7000000000000002,18249531392
236,TYL,"Tyler Technologies, Inc.",Technology,342.61,1.71,24.145197,1.0999999999999999,14727206912
237,HSIC,"Henry Schein, Inc.",Healthcare,78.83,1.71,13.396962,13.600000000000001,9045588992
238,AXP,American Express Company,Financial Services,331.69,1.71,16.49408,16.6,227743006720
239,DD,"DuPont de Nemours, Inc.",Basic Materials,47.35,1.72,18.631609,N/A,19407683584
240,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,201.07,1.72,17.685144,-3.3000000000000003,23151048704
241,SBUX,Starbucks Corporation,Consumer Cyclical,100.0,1.72,33.99129,-62.5,113929994240
242,STE,STERIS plc (Ireland),Healthcare,225.79,1.72,20.380459,12.1,22160611328
243,VTR,"Ventas, Inc.",Real Estate,85.1,1.72,88.95439,10.100000000000001,40461914112
244,V,Visa Inc.,Financial Services,317.02,1.73,21.789303,17.4,611227074560
245,CE,Celanese Corporation,Basic Materials,62.03,1.74,9.677429,N/A,6942568448
246,VRSK,"Verisk Analytics, Inc.",Industrials,178.07,1.74,20.71581,N/A,24563312640
247,GEHC,GE HealthCare Technologies Inc.,Healthcare,74.66,1.74,13.4265375,-17.7,34066624512
248,TXN,Texas Instruments Incorporated,Technology,229.82,1.75,28.794592,-3.2,209242701824
249,DE,Deere & Company,Industrials,590.46,1.76,25.631655,-8.5,159487557632
250,PM,Philip Morris International Inc,Consumer Defensive,157.79,1.78,17.307606,N/A,245920481280
251,EA,Electronic Arts Inc.,Communication Services,203.83,1.78,22.164276,-68.5,51009216512
252,EMR,Emerson Electric Company,Industrials,146.35,1.79,20.47466,4.9,82292916224
253,XYL,Xylem Inc.,Industrials,121.11,1.81,19.921604,3.0,29446856704
254,AMZN,"Amazon.com, Inc.",Consumer Cyclical,250.56,1.81,26.64639,5.0,2694585253888
255,COO,"The Cooper Companies, Inc.",Healthcare,70.06,1.81,13.954896,26.900000000000002,13669713920
256,MTB,M&T Bank Corporation,Financial Services,218.79,1.82,10.470956,24.4,32491321344
257,TSCO,Tractor Supply Company,Consumer Cyclical,45.01,1.82,18.771452,-2.1999999999999997,23691071488
258,SLB,SLB Limited,Energy,52.66,1.84,15.765665,-28.599999999999998,79049678848
259,IEX,IDEX Corporation,Industrials,205.92,1.84,22.953144,5.5,15309704192
260,GLW,Corning Incorporated,Technology,164.38,1.85,42.035114,77.4,141204865024
261,WY,Weyerhaeuser Company,Real Estate,25.17,1.86,36.229904,-9.1,18148642816
262,LRCX,Lam Research Corporation,Technology,267.6,1.88,37.39305,37.0,336113631232
263,NDSN,Nordson Corporation,Industrials,281.89,1.89,22.768541,44.2,15724839936
264,AMAT,"Applied Materials, Inc.",Technology,396.94,1.89,28.209934,75.2,315015495680
265,DOV,Dover Corporation,Industrials,219.07,1.9,19.04041,-80.10000000000001,29545232384
266,AZO,"AutoZone, Inc.",Consumer Cyclical,3572.38,1.9,20.436178,-2.3,59186552832
267,FITB,Fifth Third Bancorp,Financial Services,50.34,1.9,10.270451,-78.9,45599129600
268,BX,Blackstone Inc.,Financial Services,129.08,1.9,16.807838,42.5,157769580544
269,TMO,Thermo Fisher Scientific Inc,Healthcare,526.6,1.91,19.400991,9.3,195695804416
270,KLAC,KLA Corporation,Technology,1791.44,1.92,37.19821,40.9,235381473280
271,AVY,Avery Dennison Corporation,Consumer Cyclical,172.48,1.92,15.217002,-0.6,13266649088
272,HBAN,Huntington Bancshares Incorpora,Financial Services,16.85,1.92,8.805899,-10.9,34325467136
273,PWR,"Quanta Services, Inc.",Industrials,601.88,1.92,39.111103,2.6,90316136448
274,ZTS,Zoetis Inc.,Healthcare,122.38,1.93,16.160341,6.1,51659988992
275,GWW,"W.W. Grainger, Inc.",Industrials,1162.94,1.93,23.937668,-2.0,55091982336
276,USB,U.S. Bancorp,Financial Services,56.93,1.94,10.130109,14.799999999999999,88526151680
277,MSCI,MSCI Inc.,Financial Services,568.55,1.94,25.74057,-2.3,41773666304
278,KEYS,Keysight Technologies Inc.,Technology,334.34,1.96,32.353176,68.0,57345249280
279,MCO,Moody's Corporation,Financial Services,455.35,1.96,24.401955,57.599999999999994,81054064640
280,YUM,"Yum! Brands, Inc.",Consumer Cyclical,162.79,1.96,21.808472,27.700000000000003,45000060928
281,AMT,American Tower Corporation (REI,Real Estate,182.36,1.97,26.278172,-33.2,85047246848
282,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,35.83,1.97,26.309607,4.0,47377223680
283,KMB,Kimberly-Clark Corporation,Consumer Defensive,98.84,1.98,12.950241,11.0,32807540736
284,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,553.36,1.98,17.543224,-5.4,24548251648
285,FTNT,"Fortinet, Inc.",Technology,81.84,2.0,24.727615,-1.0999999999999999,60860162048
286,NEE,"NextEra Energy, Inc.",Utilities,91.98,2.02,21.069414,26.0,191806160896
287,TER,"Teradyne, Inc.",Technology,380.38,2.02,45.1428,81.39999999999999,59552075776
288,BLDR,"Builders FirstSource, Inc.",Industrials,88.5,2.02,11.813735,-82.89999999999999,9788549120
289,EW,Edwards Lifesciences Corporatio,Healthcare,80.99,2.03,24.394283,-76.6,47038992384
290,SNA,Snap-On Incorporated,Industrials,380.27,2.03,17.738129,2.9000000000000004,19795845120
291,DTE,DTE Energy Company,Utilities,146.98,2.04,17.67402,25.5,30575970304
292,FFIV,"F5, Inc.",Technology,310.87,2.04,18.512386,9.9,17660864512
293,CNP,"CenterPoint Energy, Inc (Holdin",Utilities,43.0,2.04,20.671783,5.2,28129019904
294,KEY,KeyCorp,Financial Services,21.8,2.05,10.192011,33.7,23702988800
295,MKC,"McCormick & Company, Incorporat",Consumer Defensive,54.33,2.05,16.236134,528.3000000000001,14606252032
296,VRT,"Vertiv Holdings, LLC",Industrials,307.34,2.08,37.843086,199.5,117587812352
297,HON,Honeywell International Inc.,Industrials,233.55,2.12,20.363838,-76.4,147989692416
298,CLX,Clorox Company (The),Consumer Defensive,104.58,2.12,15.581722,-16.2,12756708352
299,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,441.2,2.13,20.230997,32.9,112223518720
300,CAT,"Caterpillar, Inc.",Industrials,794.65,2.13,28.564991,-11.4,371880001536
301,OKE,"ONEOK, Inc.",Energy,83.51,2.15,13.646518,-1.5,52613857280
302,JKHY,"Jack Henry & Associates, Inc.",Technology,154.06,2.16,22.030602,28.4,11150420992
303,BXP,"BXP, Inc.",Real Estate,58.05,2.16,27.841726,N/A,10278157312
304,AIZ,"Assurant, Inc.",Financial Services,227.76,2.16,10.301976,15.1,11339486208
305,NDAQ,"Nasdaq, Inc.",Financial Services,88.61,2.16,20.165998,47.599999999999994,50595909632
306,MNST,Monster Beverage Corporation,Consumer Defensive,76.72,2.17,30.242826,66.60000000000001,75052933120
307,SJM,The J.M. Smucker Company,Consumer Defensive,95.5,2.17,9.474385,N/A,10189307904
308,ALLE,Allegion plc,Industrials,144.32,2.18,15.159283,3.3000000000000003,12432517120
309,CINF,Cincinnati Financial Corporatio,Financial Services,166.82,2.19,18.1017,67.30000000000001,25971574784
310,ROK,"Rockwell Automation, Inc.",Industrials,415.73,2.2,30.254162,67.10000000000001,46741848064
311,MAR,Marriott International,Consumer Cyclical,377.93,2.2,29.04611,1.6,100145610752
312,ANET,"Arista Networks, Inc.",Technology,164.23,2.24,38.25895,19.1,206793392128
313,ATO,Atmos Energy Corporation,Utilities,186.54,2.24,21.111982,9.4,30860980224
314,LHX,"L3Harris Technologies, Inc.",Industrials,350.35,2.24,25.770203,-6.1,65440436224
315,NFLX,"Netflix, Inc.",Communication Services,97.31,2.25,25.28846,86.4,410858586112
316,ICE,Intercontinental Exchange Inc.,Financial Services,161.24,2.27,18.48788,23.400000000000002,91567636480
317,TTWO,"Take-Two Interactive Software, ",Communication Services,212.04,2.27,27.239338,N/A,39264604160
318,GOOG,Alphabet Inc.,Communication Services,339.4,2.28,25.227222,31.1,4105721872384
319,WM,"Waste Management, Inc.",Industrials,223.95,2.28,24.010445,23.599999999999998,90327048192
320,EVRG,"Evergy, Inc.",Utilities,82.37,2.28,18.10282,4.7,18968506368
321,XEL,Xcel Energy Inc.,Utilities,81.08,2.29,17.910791,20.8,50607071232
322,GOOGL,Alphabet Inc.,Communication Services,341.68,2.3,25.396692,31.1,4133303091200
323,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,93.71,2.3,26.290022,13.900000000000002,78574616576
324,MPWR,"Monolithic Power Systems, Inc.",Technology,1468.35,2.31,56.6469,-86.2,72122417152
325,LIN,Linde plc,Basic Materials,492.23,2.31,25.247187,-9.4,228096507904
326,MS,Morgan Stanley,Financial Services,188.82,2.31,15.057189,31.900000000000002,299819794432
327,NI,NiSource Inc,Utilities,48.31,2.33,21.714312,11.1,23117938688
328,HST,"Host Hotels & Resorts, Inc.",Real Estate,21.12,2.34,21.953121,27.1,14711695360
329,TT,Trane Technologies plc,Industrials,476.11,2.34,28.262007,-0.5,105572155392
330,AMGN,Amgen Inc.,Healthcare,355.3,2.34,15.256849,112.1,191530729472
331,EBAY,eBay Inc.,Consumer Cyclical,104.65,2.34,15.690903,-18.4,47301799936
332,ISRG,"Intuitive Surgical, Inc.",Healthcare,469.21,2.35,41.061413,16.6,166649167872
333,TRV,"The Travelers Companies, Inc.",Financial Services,300.81,2.36,10.581179,357.6,63965646848
334,AWK,"American Water Works Company, I",Utilities,131.61,2.36,20.009184,N/A,25700814848
335,PNC,"PNC Financial Services Group, I",Financial Services,224.81,2.36,10.738379,17.8,90681810944
336,AAPL,Apple Inc.,Technology,270.23,2.37,28.898207,18.3,3971820552192
337,IBM,International Business Machines,Technology,253.47,2.37,18.938059,89.9,237858553856
338,WMB,"Williams Companies, Inc. (The)",Energy,71.15,2.38,27.275898,50.8,87006273536
339,HAS,"Hasbro, Inc.",Consumer Cyclical,97.15,2.4,15.528274,N/A,13667621888
340,JBHT,"J.B. Hunt Transport Services, I",Industrials,245.08,2.4,27.158117,27.1,23185567744
341,ETR,Entergy Corporation,Utilities,115.52,2.41,23.40641,-20.8,52884893696
342,MSI,"Motorola Solutions, Inc.",Technology,441.96,2.43,24.209425,8.6,73455345664
343,GD,General Dynamics Corporation,Industrials,336.29,2.43,18.709398,0.4,91082752000
344,LNT,Alliant Energy Corporation,Utilities,72.83,2.46,19.78071,-5.800000000000001,18810275840
345,LDOS,"Leidos Holdings, Inc.",Technology,155.17,2.46,11.755258,19.7,19612352512
346,PEG,Public Service Enterprise Group,Utilities,81.58,2.48,17.362288,10.5,40720982016
347,ECL,Ecolab Inc.,Basic Materials,274.8,2.49,28.379223,20.200000000000003,77610049536
348,JCI,Johnson Controls International ,Industrials,140.87,2.5,25.323486,34.2,86221758464
349,EQT,EQT Corporation,Energy,58.48,2.5,12.43184,54.6,36507541504
350,HUBB,Hubbell Inc,Industrials,535.57,2.53,24.79128,13.8,28471758848
351,ADP,"Automatic Data Processing, Inc.",Technology,200.47,2.56,16.75438,11.5,81079836672
352,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,251.72,2.58,18.448122,-11.0,140979159040
353,WEC,"WEC Energy Group, Inc.",Utilities,115.87,2.58,19.278635,-32.5,37738815488
354,REG,Regency Centers Corporation,Real Estate,80.93,2.61,31.870485,141.9,15127561216
355,ED,"Consolidated Edison, Inc.",Utilities,110.15,2.63,16.992504,-8.3,40581599232
356,AON,Aon plc,Financial Services,331.8,2.67,15.5111885,138.3,71315521536
357,ERIE,Erie Indemnity Company,Financial Services,244.81,2.67,17.473948,-58.4,12801082368
358,ITW,Illinois Tool Works Inc.,Industrials,272.26,2.69,22.433378,7.3,78465335296
359,IRM,Iron Mountain Incorporated (Del,Real Estate,118.07,2.7,46.099125,-14.2,35123322880
360,SO,Southern Company (The),Utilities,94.51,2.71,19.22627,-22.1,106541506560
361,CDNS,"Cadence Design Systems, Inc.",Technology,311.03,2.74,32.994263,14.6,85872910336
362,MTD,"Mettler-Toledo International, I",Healthcare,1340.58,2.74,26.18556,17.0,27247622144
363,DUK,Duke Energy Corporation (Holdin,Utilities,128.03,2.75,17.887482,-2.1999999999999997,99635085312
364,MCD,McDonald's Corporation,Consumer Cyclical,311.36,2.75,21.71316,8.200000000000001,221323280384
365,RTX,RTX Corporation,Industrials,196.42,2.75,26.073082,8.3,264376270848
366,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,182.24,2.75,25.485048,-8.5,21617461248
367,D,"Dominion Energy, Inc.",Utilities,62.42,2.76,16.366749,365.5,54864977920
368,NEM,Newmont Corporation,Basic Materials,116.5,2.78,10.892462,-4.6,126737342464
369,PANW,"Palo Alto Networks, Inc.",Technology,167.85,2.8,42.297604,60.5,136965603328
